所管,組織,科目名,元額_億円,フリードマン根拠,残存割合,残す額_億円,削減額_億円,措置,理由
法務省,法務総合研究所,法務調査研究費,0,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,0,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務総合研究所,国際協力推進費,3,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,3,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,検察庁,検察官署共通費,1144,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,1144,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,検察庁,検察費,52,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,52,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,検察庁,検察運営費,19,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,19,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,矯正官署,矯正官署共通費,1835,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,1835,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,矯正官署,矯正管理業務費,64,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,64,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,矯正官署,矯正収容費,485,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,485,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,矯正官署,矯正施設民間開放推進費,146,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,146,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,更生保護官署,更生保護官署共通費,158,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,158,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,更生保護官署,更生保護活動費,131,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,131,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務局,法務局共通費,730,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,730,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務局,登記事務処理費,246,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,246,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務局,国籍等事務処理費,9,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,9,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務局,人権擁護活動費,23,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,23,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,出入国在留管理庁,出入国在留管理庁共通費,514,①法秩序維持,100%,514,0,維持,①国境管理は政府の基本機能。
法務省,出入国在留管理庁,出入国管理企画調整推進費,59,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,59,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,出入国在留管理庁,出入国管理業務費,135,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,135,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,公安審査委員会,公安審査委員会,1,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,1,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,公安調査庁,公安調査庁共通費,154,①法秩序維持,100%,154,0,維持,①安全保障・治安情報収集。
法務省,公安調査庁,破壊的団体等調査費,27,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,27,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
外務省,外務本省,外務本省共通費,784,①法秩序維持,50%,392,392,縮小,①外交・安全保障機能は維持。経済援助・文化外交は廃止。
外務省,外務本省,外務本省施設費,10,①法秩序維持,50%,5,5,縮小,①外交・安全保障機能は維持。経済援助・文化外交は廃止。
外務省,外務本省,地域別外交費,62,①法秩序維持,50%,31,31,縮小,①外交・安全保障機能は維持。経済援助・文化外交は廃止。
外務省,外務本省,分野別外交費,1221,①法秩序維持,70%,855,366,縮小,①安全保障外交・条約交渉は政府の核心機能。経済外交・援助外交は廃止。
外務省,外務本省,広報文化交流及報道対策費,121,①法秩序維持,50%,60,61,縮小,①外交・安全保障機能は維持。経済援助・文化外交は廃止。
外務省,外務本省,独立行政法人国際交流基金運営費,123,該当なし,20%,25,98,廃止（民間化）,文化外交は民間が担う。最小限の公的広報のみ残存。
外務省,外務本省,領事政策費,129,①法秩序維持,50%,64,65,縮小,①外交・安全保障機能は維持。経済援助・文化外交は廃止。
外務省,外務本省,経済協力費,1779,該当なし,0%,0,1779,廃止（ODA廃止）,フリードマンはODAに反対（市場を歪め、現地政府の腐敗を助長）。
外務省,外務本省,独立行政法人国際協力機構運営費,1481,該当なし,0%,0,1481,廃止,JICA廃止。民間NGO・市場投資が代替。
外務省,外務本省,独立行政法人国際協力機構施設整備費,20,該当なし,0%,0,20,廃止,JICA廃止。民間NGO・市場投資が代替。
外務省,在外公館,在外公館共通費,1887,①法秩序維持,70%,1321,566,縮小,①外交機能・在外邦人保護は維持。ただし経済協力関連人員は削減。
外務省,在外公館,在外公館施設費,39,①法秩序維持,70%,27,12,縮小,①外交機能・在外邦人保護は維持。ただし経済協力関連人員は削減。
外務省,在外公館,地域別外交費,8,①法秩序維持,50%,4,4,縮小,①外交・安全保障機能は維持。経済援助・文化外交は廃止。
外務省,在外公館,分野別外交費,5,①法秩序維持,70%,4,1,縮小,①安全保障外交・条約交渉は政府の核心機能。経済外交・援助外交は廃止。
外務省,在外公館,広報文化交流及報道対策費,20,①法秩序維持,50%,10,10,縮小,①外交・安全保障機能は維持。経済援助・文化外交は廃止。
外務省,在外公館,領事政策費,62,①法秩序維持,50%,31,31,縮小,①外交・安全保障機能は維持。経済援助・文化外交は廃止。
外務省,在外公館,経済協力費,13,該当なし,0%,0,13,廃止（ODA廃止）,フリードマンはODAに反対（市場を歪め、現地政府の腐敗を助長）。
財務省,財務本省,財務本省共通費,1987,⑦貨幣制度,80%,1590,397,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,財務本省,財務本省施設費,1,⑦貨幣制度,80%,1,0,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,財務本省,財政健全化推進費,9,⑦貨幣制度,80%,7,2,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,財務本省,税制企画立案費,2,⑦貨幣制度,80%,2,0,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,財務本省,資産債務管理費,1,⑦貨幣制度,80%,1,0,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,財務本省,国債費,312758,⑤契約履行強制,100%,312758,0,維持（削減不可）,⑤契約の履行強制。既発債の償還・利払いは法的義務。財政縮小後は漸減。
財務省,財務本省,公務員宿舎施設費,69,⑦貨幣制度,80%,55,14,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,財務本省,特定国有財産整備費,63,⑦貨幣制度,80%,50,13,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,財務本省,特定国有財産整備諸費,5,⑦貨幣制度,80%,4,1,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,財務本省,貨幣製造及信用秩序制度等企画立案費,175,⑦貨幣制度,80%,140,35,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,財務本省,関税制度等企画立案費,11,⑦貨幣制度,80%,9,2,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,財務本省,経済協力費,870,該当なし,0%,0,870,廃止,ODA・経済協力は廃止（外務省分と同じ理由）。
財務省,財務本省,政策金融費,600,該当なし,0%,0,600,廃止,政策金融は民間信用市場を歪める。政策金融公庫等の廃止。
財務省,財務本省,国家公務員共済組合連合会等助成費,845,該当なし,0%,0,845,廃止,公務員も民間保険に移行。公務員特権的共済制度は廃止。
財務省,財務本省,復興事業費等東日本大震災復興特別会計へ繰入,688,該当なし,0%,0,688,廃止（東日本大震災復興特会は別途検討）,復興補助は民間保険・市場で代替。ただし既存の特会は経過措置として扱う。
財務省,財務本省,予備費,10000,①法秩序維持,30%,3000,7000,大幅削減,予備費は政府縮小後も一定額必要だが、政府規模に応じて削減。
財務省,財務局,財務局共通費,448,⑦貨幣制度,80%,358,90,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,財務局,財務局施設費,2,⑦貨幣制度,80%,2,0,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,財務局,財務局業務費,142,⑦貨幣制度,80%,114,28,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,税関,税関共通費,828,⑦貨幣制度,80%,662,166,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,税関,税関施設費,13,⑦貨幣制度,80%,10,3,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,税関,税関業務費,206,⑦貨幣制度,80%,165,41,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,税関,船舶建造費,4,⑦貨幣制度,80%,3,1,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,国税庁,国税庁共通費,5676,⑦貨幣制度,80%,4541,1135,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,国税庁,国税庁施設費,26,⑦貨幣制度,80%,21,5,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,国税庁,税務業務費,627,⑦貨幣制度,80%,502,125,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,国税庁,国税不服審判所,50,⑦貨幣制度,80%,40,10,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
財務省,国税庁,独立行政法人酒類総合研究所運営費,10,⑦貨幣制度,80%,8,2,維持（縮小）,⑦貨幣・財政管理・徴税は必須機能。ただし政府縮小で徴税規模は縮小。
文部科学省,文部科学本省,文部科学本省共通費,961,該当なし,5%,48,913,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,教育政策推進費,2092,該当なし,5%,105,1987,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,独立行政法人国立青少年教育振興機構運営費,77,該当なし,5%,4,73,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,初等中等教育振興費,7116,⑩責任能力なき者保護,30%,2135,4981,大幅縮小,バウチャー化移行期の最小管理費のみ。
文部科学省,文部科学本省,独立行政法人教職員支援機構運営費,12,該当なし,5%,1,11,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,独立行政法人国立特別支援教育総合研究所運営費,11,該当なし,5%,1,10,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,義務教育費国庫負担金,17118,⑩責任能力なき者保護,70%,11983,5135,縮小（バウチャー化移行）,フリードマンは教育バウチャー制を提唱。国庫負担金はバウチャー予算に組み替え。
文部科学省,文部科学本省,高等教育振興費,241,該当なし,5%,12,229,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,独立行政法人大学改革支援・学位授与機構運営費,18,該当なし,5%,1,17,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,独立行政法人国立高等専門学校機構運営費,631,該当なし,5%,32,599,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,独立行政法人国立高等専門学校機構施設整備費,25,該当なし,5%,1,24,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,育英事業費,1048,該当なし,5%,52,996,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,私立学校振興費,5653,該当なし,0%,0,5653,廃止,特定産業への補助に相当。市場原理で自立すべき。
文部科学省,文部科学本省,科学技術・学術政策推進費,11,該当なし,5%,1,10,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,研究振興費,3127,⑨外部効果克服,30%,938,2189,大幅縮小,⑨基礎研究には外部効果あり（知識の公共財性）。ただし応用研究・産業政策的な補助は廃止。
文部科学省,文部科学本省,国立大学法人施設整備費,353,該当なし,0%,0,353,廃止,民営化後は自己調達。
文部科学省,文部科学本省,国立大学法人運営費,10971,該当なし,0%,0,10971,廃止（民営化）,高等教育への補助はフリードマン否定。国立大学は授業料で自立、または民営化。
文部科学省,文部科学本省,独立行政法人日本学術振興会運営費,271,該当なし,5%,14,257,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,研究開発推進費,1168,⑨外部効果克服,30%,350,818,大幅縮小,同上。基礎科学のみ正当化。
文部科学省,文部科学本省,国立研究開発法人物質・材料研究機構運営費,145,⑨外部効果克服,20%,29,116,大幅縮小（民営化・統合）,⑨基礎研究の外部効果部分のみ。産業応用・競争的研究は民間へ。
文部科学省,文部科学本省,国立研究開発法人日本医療研究開発機構運営費,67,⑨外部効果克服,20%,13,54,大幅縮小（民営化・統合）,⑨基礎研究の外部効果部分のみ。産業応用・競争的研究は民間へ。
文部科学省,文部科学本省,国立研究開発法人科学技術振興機構運営費,1010,⑨外部効果克服,20%,202,808,大幅縮小（民営化・統合）,⑨基礎研究の外部効果部分のみ。産業応用・競争的研究は民間へ。
文部科学省,文部科学本省,国立研究開発法人科学技術振興機構施設整備費,1,⑨外部効果克服,20%,0,1,大幅縮小（民営化・統合）,⑨基礎研究の外部効果部分のみ。産業応用・競争的研究は民間へ。
文部科学省,文部科学本省,国立研究開発法人理化学研究所運営費,588,⑨外部効果克服,20%,118,470,大幅縮小（民営化・統合）,⑨基礎研究の外部効果部分のみ。産業応用・競争的研究は民間へ。
文部科学省,文部科学本省,国立研究開発法人量子科学技術研究開発機構運営費,219,⑨外部効果克服,20%,44,175,大幅縮小（民営化・統合）,⑨基礎研究の外部効果部分のみ。産業応用・競争的研究は民間へ。
文部科学省,文部科学本省,国立研究開発法人量子科学技術研究開発機構施設整備費,6,⑨外部効果克服,20%,1,5,大幅縮小（民営化・統合）,⑨基礎研究の外部効果部分のみ。産業応用・競争的研究は民間へ。
文部科学省,文部科学本省,国立研究開発法人防災科学技術研究所運営費,82,⑨外部効果克服,20%,16,66,大幅縮小（民営化・統合）,⑨基礎研究の外部効果部分のみ。産業応用・競争的研究は民間へ。
文部科学省,文部科学本省,南極地域観測事業費,59,該当なし,5%,3,56,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,電源開発促進税財源電源立地対策及電源利用対策費エネルギー対策特別会計へ繰入,1079,⑨外部効果克服,30%,324,755,縮小,⑨原子力安全規制分のみ。エネルギー補助は廃止。
文部科学省,文部科学本省,国立研究開発法人海洋研究開発機構運営費,302,⑨外部効果克服,20%,60,242,大幅縮小（民営化・統合）,⑨基礎研究の外部効果部分のみ。産業応用・競争的研究は民間へ。
文部科学省,文部科学本省,国立研究開発法人海洋研究開発機構船舶建造費,30,⑨外部効果克服,20%,6,24,大幅縮小（民営化・統合）,⑨基礎研究の外部効果部分のみ。産業応用・競争的研究は民間へ。
文部科学省,文部科学本省,国立研究開発法人宇宙航空研究開発機構運営費,1270,①法秩序維持・⑨外部効果克服,50%,635,635,縮小,①安全保障・⑨宇宙の外部効果（GPS・気象観測）は一定正当化。商業宇宙は民間へ。
文部科学省,文部科学本省,国立研究開発法人宇宙航空研究開発機構施設整備費,65,①法秩序維持・⑨外部効果克服,50%,32,33,縮小,①安全保障・⑨宇宙の外部効果（GPS・気象観測）は一定正当化。商業宇宙は民間へ。
文部科学省,文部科学本省,国立研究開発法人日本原子力研究開発機構運営費,365,⑨外部効果克服,20%,73,292,大幅縮小（民営化・統合）,⑨基礎研究の外部効果部分のみ。産業応用・競争的研究は民間へ。
文部科学省,文部科学本省,公立文教施設整備費,682,該当なし,5%,34,648,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,文化振興費,10,該当なし,5%,0,10,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,国際交流・協力推進費,304,該当なし,5%,15,289,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省,独立行政法人日本学生支援機構運営費,167,該当なし,5%,8,159,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省所轄機関,国立教育政策研究所,28,該当なし,5%,1,27,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省所轄機関,科学技術・学術政策研究所,9,該当なし,5%,0,9,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文部科学本省所轄機関,日本学士院,7,該当なし,5%,0,7,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,スポーツ庁,スポーツ庁共通費,13,該当なし,5%,1,12,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,スポーツ庁,初等中等教育振興費,0,⑩責任能力なき者保護,30%,0,0,大幅縮小,バウチャー化移行期の最小管理費のみ。
文部科学省,スポーツ庁,私立学校振興費,1,該当なし,0%,0,1,廃止,特定産業への補助に相当。市場原理で自立すべき。
文部科学省,スポーツ庁,スポーツ振興費,135,該当なし,5%,7,128,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,スポーツ庁,独立行政法人日本スポーツ振興センター運営費,191,該当なし,5%,10,181,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文化庁,文化庁共通費,40,該当なし,5%,2,38,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文化庁,文化庁施設費,2,該当なし,5%,0,2,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文化庁,文化振興費,238,該当なし,5%,12,226,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文化庁,文化財保存事業費,424,該当なし,5%,21,403,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文化庁,文化財保存施設整備費,5,該当なし,5%,0,5,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文化庁,文化振興基盤整備費,21,該当なし,5%,1,20,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文化庁,日本芸術院,6,該当なし,5%,0,6,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文化庁,独立行政法人国立科学博物館運営費,29,該当なし,5%,1,28,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文化庁,独立行政法人日本芸術文化振興会運営費,119,該当なし,5%,6,113,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文化庁,独立行政法人国立文化財機構運営費,99,該当なし,5%,5,94,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文化庁,独立行政法人国立美術館運営費,85,該当なし,5%,4,81,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
文部科学省,文化庁,独立行政法人国立美術館施設整備費,3,該当なし,5%,0,3,廃止・民間移行,フリードマン範囲外の文教行政は廃止。
厚生労働省,厚生労働本省,厚生労働本省共通費,1067,⑩責任能力なき者保護,20%,213,854,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,厚生労働本省施設費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,医療提供体制確保対策費,282,⑨外部効果克服,30%,85,197,縮小,⑨医療の外部効果部分（感染症・公衆衛生）のみ。個別医療サービスの補助は廃止。
厚生労働省,厚生労働本省,医療従事者等確保対策費,7,⑩責任能力なき者保護,20%,1,6,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,医療従事者資質向上対策費,0,⑩責任能力なき者保護,20%,0,0,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,医療情報化等推進費,16,⑩責任能力なき者保護,20%,3,13,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,医療安全確保推進費,13,⑩責任能力なき者保護,20%,3,10,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,国立研究開発法人国立がん研究センター運営費,66,⑩責任能力なき者保護,20%,13,53,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,国立研究開発法人国立循環器病研究センター運営費,42,⑩責任能力なき者保護,20%,8,34,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,国立研究開発法人国立精神・神経医療研究センター運営費,43,⑩責任能力なき者保護,20%,9,34,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,国立研究開発法人国立精神・神経医療研究センター施設整備費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,国立研究開発法人国立成育医療研究センター運営費,49,⑩責任能力なき者保護,20%,10,39,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,国立研究開発法人国立成育医療研究センター施設整備費,17,⑩責任能力なき者保護,20%,3,14,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,国立研究開発法人国立長寿医療研究センター運営費,31,⑩責任能力なき者保護,20%,6,25,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,国立研究開発法人国立長寿医療研究センター施設整備費,3,⑩責任能力なき者保護,20%,1,2,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,感染症対策費,971,⑨外部効果克服,80%,777,194,維持（縮小）,⑨感染症は典型的な外部効果（負の外部性）。強制隔離・検疫・情報収集は政府の正当機能。
厚生労働省,厚生労働本省,国立健康危機管理研究機構運営費,177,⑩責任能力なき者保護,20%,35,142,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,特定疾患等対策費,1644,⑨外部効果克服・⑩責任能力なき者保護,50%,822,822,縮小,難病・指定疾患は⑨⑩として一部正当化。希少疾患研究は民間に任せる部分も大。
厚生労働省,厚生労働本省,移植医療推進費,38,⑩責任能力なき者保護,20%,8,30,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,原爆被爆者等援護対策費,1025,⑤契約履行強制・⑩責任能力なき者保護,100%,1025,0,維持（時限的）,⑤政府行為による被害への責任。受給者の自然減に伴い漸減。
厚生労働省,厚生労働本省,医薬品承認審査等推進費,12,⑩責任能力なき者保護,20%,2,10,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,医薬品安全対策等推進費,10,⑩責任能力なき者保護,20%,2,8,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,医薬品適正使用推進費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,血液製剤対策費,7,⑩責任能力なき者保護,20%,1,6,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,医療技術実用化等推進費,49,⑩責任能力なき者保護,20%,10,39,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,医療提供体制基盤整備費,980,⑨外部効果克服,30%,294,686,縮小,⑨医療の外部効果部分（感染症・公衆衛生）のみ。個別医療サービスの補助は廃止。
厚生労働省,厚生労働本省,独立行政法人医薬品医療機器総合機構運営費,26,⑩責任能力なき者保護,20%,5,21,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,医療保険給付諸費,108248,該当なし,0%,0,108248,廃止（民間医療保険へ）,フリードマンは強制医療保険に反対。貧困者の医療はNITの枠組みで対応。
厚生労働省,厚生労働本省,健康保険事業借入金諸費年金特別会計へ繰入,359,該当なし,0%,0,359,廃止,医療保険廃止に伴い不要。
厚生労働省,厚生労働本省,医療費適正化推進費,29,⑩責任能力なき者保護,20%,6,23,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,地域保健対策費,28,⑩責任能力なき者保護,20%,6,22,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,保健衛生施設整備費,37,⑩責任能力なき者保護,20%,7,30,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,健康増進対策費,333,⑩責任能力なき者保護,20%,67,266,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,健康危機管理推進費,7,⑩責任能力なき者保護,20%,1,6,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,食品等安全確保対策費,8,⑩責任能力なき者保護,20%,2,6,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,麻薬・覚醒剤等対策費,6,⑩責任能力なき者保護,20%,1,5,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,化学物質安全対策費,3,⑩責任能力なき者保護,20%,1,2,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,生活衛生対策費,42,⑩責任能力なき者保護,20%,8,34,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,労働条件確保・改善対策費,2,⑩責任能力なき者保護,20%,0,2,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,中小企業最低賃金引上げ支援対策費,21,⑩責任能力なき者保護,20%,4,17,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,特定石綿被害建設業務労働者等給付金等支給諸費,2,⑩責任能力なき者保護,20%,0,2,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,労働者災害補償保険保険給付費労働保険特別会計へ繰入,0,⑩責任能力なき者保護,20%,0,0,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
