所管,組織,項名,目名,元額_億円,フリードマン根拠,残存割合,残す額_億円,削減額_億円,措置,理由
内閣府,警察庁,警察活動基盤整備費,警察装備費,134,①法秩序維持,100%,134,0,維持,①法と秩序の維持
内閣府,警察庁,警察活動基盤整備費,車両購入費,4,①法秩序維持,100%,4,0,維持,①法と秩序の維持
内閣府,警察庁,警察活動基盤整備費,捜査費,29,①法秩序維持,100%,29,0,維持,①法と秩序の維持
内閣府,警察庁,警察活動基盤整備費,航空機購入費,5,①法秩序維持,100%,5,0,維持,①法と秩序の維持
内閣府,警察庁,警察活動基盤整備費,都道府県警察費補助金,309,①法秩序維持,100%,309,0,維持,①法と秩序の維持
内閣府,警察庁,警察活動基盤整備費,都道府県警察施設整備費補助金,57,①法秩序維持,100%,57,0,維持,①法と秩序の維持
内閣府,個人情報保護委員会,個人情報保護委員会,職員基本給,14,該当なし,10%,1,13,廃止,フリードマン範囲外の政策調整廃止
内閣府,個人情報保護委員会,個人情報保護委員会,職員諸手当,7,該当なし,10%,1,6,廃止,フリードマン範囲外の政策調整廃止
内閣府,個人情報保護委員会,個人情報保護委員会,超過勤務手当,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,個人情報保護委員会,個人情報保護委員会,非常勤職員手当,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,個人情報保護委員会,個人情報保護委員会,退職手当,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,個人情報保護委員会,個人情報保護委員会,職員旅費,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,個人情報保護委員会,個人情報保護委員会,庁費,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,個人情報保護委員会,個人情報保護委員会,個人情報保護業務庁費,8,該当なし,10%,1,7,廃止,フリードマン範囲外の政策調整廃止
内閣府,カジノ管理委員会,カジノ管理委員会,職員基本給,10,該当なし,10%,1,9,廃止,フリードマン範囲外の政策調整廃止
内閣府,カジノ管理委員会,カジノ管理委員会,職員諸手当,6,該当なし,10%,1,5,廃止,フリードマン範囲外の政策調整廃止
内閣府,カジノ管理委員会,カジノ管理委員会,超過勤務手当,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,カジノ管理委員会,カジノ管理委員会,非常勤職員手当,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,カジノ管理委員会,カジノ管理委員会,退職手当,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,カジノ管理委員会,カジノ管理委員会,カジノ事業監督等業務旅費,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,カジノ管理委員会,カジノ管理委員会,庁費,3,該当なし,10%,0,3,廃止,フリードマン範囲外の政策調整廃止
内閣府,カジノ管理委員会,カジノ管理委員会,情報処理業務庁費,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,カジノ管理委員会,カジノ管理委員会,カジノ事業監督等業務庁費,3,該当なし,10%,0,3,廃止,フリードマン範囲外の政策調整廃止
内閣府,カジノ管理委員会,カジノ管理委員会,カジノ事業免許等審査業務庁費,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,カジノ管理委員会,カジノ管理委員会,土地建物借料,4,該当なし,10%,0,4,廃止,フリードマン範囲外の政策調整廃止
内閣府,カジノ管理委員会,カジノ管理委員会,国家公務員共済組合負担金,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,カジノ管理委員会,カジノ管理委員会,基礎年金等国家公務員共済組合負担金,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,サイバー通信情報監理委員会,サイバー通信情報監理委員会,職員基本給,4,該当なし,10%,0,4,廃止,フリードマン範囲外の政策調整廃止
内閣府,サイバー通信情報監理委員会,サイバー通信情報監理委員会,職員諸手当,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,サイバー通信情報監理委員会,サイバー通信情報監理委員会,超過勤務手当,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,サイバー通信情報監理委員会,サイバー通信情報監理委員会,安全保障業務旅費,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,サイバー通信情報監理委員会,サイバー通信情報監理委員会,情報処理業務庁費,3,該当なし,10%,0,3,廃止,フリードマン範囲外の政策調整廃止
内閣府,サイバー通信情報監理委員会,サイバー通信情報監理委員会,土地建物借料,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,サイバー通信情報監理委員会,サイバー通信情報監理委員会,国家公務員共済組合負担金,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,金融庁,金融庁共通費,職員基本給,86,⑥競争促進・⑧技術的独占対抗,80%,69,17,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,職員諸手当,46,⑥競争促進・⑧技術的独占対抗,80%,37,9,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,超過勤務手当,18,⑥競争促進・⑧技術的独占対抗,80%,14,4,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,非常勤職員手当,8,⑥競争促進・⑧技術的独占対抗,80%,6,2,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,短時間勤務職員給与,1,⑥競争促進・⑧技術的独占対抗,80%,1,0,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,退職手当,9,⑥競争促進・⑧技術的独占対抗,80%,7,2,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,児童手当,1,⑥競争促進・⑧技術的独占対抗,80%,1,0,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,職員旅費,4,⑥競争促進・⑧技術的独占対抗,80%,3,1,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,外国留学旅費,1,⑥競争促進・⑧技術的独占対抗,80%,1,0,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,庁費,8,⑥競争促進・⑧技術的独占対抗,80%,6,2,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,公共施設等維持管理運営費,9,⑥競争促進・⑧技術的独占対抗,80%,7,2,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,官民区分所有施設維持管理運営費,6,⑥競争促進・⑧技術的独占対抗,80%,5,1,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,国家公務員共済組合負担金,23,⑥競争促進・⑧技術的独占対抗,80%,18,5,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,基礎年金等国家公務員共済組合負担金,6,⑥競争促進・⑧技術的独占対抗,80%,5,1,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,証券監督者国際機構等分担金,1,⑥競争促進・⑧技術的独占対抗,80%,1,0,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融庁共通費,監査監督機関国際フォーラム拠出金,1,⑥競争促進・⑧技術的独占対抗,80%,1,0,維持（縮小）,⑥⑧金融市場競争促進・自然独占規制
内閣府,金融庁,金融政策費,非常勤職員手当,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,金融庁,金融政策費,金融政策業務旅費,3,該当なし,10%,0,3,廃止,フリードマン範囲外の政策調整廃止
内閣府,金融庁,金融政策費,金融政策業務庁費,5,該当なし,10%,0,5,廃止,フリードマン範囲外の政策調整廃止
内閣府,金融庁,金融政策費,金融経済教育推進事業費補助金,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,金融庁,金融政策費,政府開発援助経済協力開発機構等拠出金,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,消費者庁共通費,職員基本給,25,該当なし,10%,2,23,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,消費者庁共通費,職員諸手当,13,該当なし,10%,1,12,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,消費者庁共通費,超過勤務手当,5,該当なし,10%,0,5,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,消費者庁共通費,非常勤職員手当,3,該当なし,10%,0,3,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,消費者庁共通費,退職手当,3,該当なし,10%,0,3,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,消費者庁共通費,庁費,4,該当なし,10%,0,4,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,消費者庁共通費,情報処理業務庁費,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,消費者政策費,非常勤職員手当,6,該当なし,10%,1,5,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,消費者政策費,職員旅費,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,消費者政策費,情報処理業務庁費,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,消費者政策費,消費者政策調査費,12,該当なし,10%,1,11,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,消費者政策費,消費者政策委託費,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,消費者政策費,地方消費者行政強化交付金,15,該当なし,10%,2,13,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,食品衛生基準政策費,食品等試験検査費,6,該当なし,10%,1,5,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,食品衛生基準政策費,食品衛生基準調査研究費,9,該当なし,10%,1,8,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,食品衛生基準政策費,食品衛生基準科学研究費補助金,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,食品衛生基準政策費,食品衛生基準行政推進調査事業費補助金,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,消費者庁,独立行政法人国民生活センター運営費,独立行政法人国民生活センター運営費交付金,32,該当なし,10%,3,29,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども家庭庁共通費,職員基本給,22,該当なし,10%,2,20,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども家庭庁共通費,職員諸手当,12,該当なし,10%,1,11,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども家庭庁共通費,超過勤務手当,7,該当なし,10%,1,6,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども家庭庁共通費,非常勤職員手当,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども家庭庁共通費,退職手当,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども家庭庁共通費,職員旅費,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども家庭庁共通費,委員等旅費,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども家庭庁共通費,庁費,15,該当なし,10%,2,13,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども家庭庁共通費,情報処理業務庁費,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども家庭庁共通費,土地建物借料,10,該当なし,10%,1,9,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども家庭庁共通費,国家公務員共済組合負担金,7,該当なし,10%,1,6,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども家庭庁共通費,基礎年金等国家公務員共済組合負担金,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども家庭庁共通費,賠償償還及払戻金,4,該当なし,10%,0,4,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,母子保健衛生対策費,旧優生保護補償金等支給等業務庁費,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,母子保健衛生対策費,母子保健衛生対策推進事業委託費,3,該当なし,10%,0,3,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,母子保健衛生対策費,母子保健衛生費補助金,56,該当なし,10%,6,50,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,母子保健衛生対策費,母子保健衛生医療費負担金,34,該当なし,10%,3,31,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,母子保健衛生対策費,旧優生保護補償金等支給等業務都道府県事務取扱交付金,4,該当なし,10%,0,4,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,保育対策費,保育対策事業費補助金,463,該当なし,0%,0,463,廃止（市場へ）,保育は民間市場
内閣府,こども家庭庁,保育対策費,社会福祉施設職員等退職手当共済事業給付費補助金,206,該当なし,0%,0,206,廃止（市場へ）,保育は民間市場
内閣府,こども家庭庁,児童手当等子ども・子育て支援特別会計へ繰入,児童手当子ども・子育て支援特別会計へ繰入,10108,該当なし,0%,0,10108,廃止,育児はNITで代替
内閣府,こども家庭庁,児童手当等子ども・子育て支援特別会計へ繰入,妊婦のための支援給付事業子ども・子育て支援特別会計へ繰入,16,該当なし,0%,0,16,廃止,育児はNITで代替
内閣府,こども家庭庁,児童手当等子ども・子育て支援特別会計へ繰入,子どものための教育・保育給付等子ども・子育て支援特別会計へ繰入,15275,該当なし,0%,0,15275,廃止,育児はNITで代替
内閣府,こども家庭庁,児童手当等子ども・子育て支援特別会計へ繰入,乳児等のための支援給付子ども・子育て支援特別会計へ繰入,116,該当なし,0%,0,116,廃止,育児はNITで代替
内閣府,こども家庭庁,児童手当等子ども・子育て支援特別会計へ繰入,地域子ども・子育て支援事業子ども・子育て支援特別会計へ繰入,535,該当なし,0%,0,535,廃止,育児はNITで代替
内閣府,こども家庭庁,児童手当等子ども・子育て支援特別会計へ繰入,子ども・子育て支援特別会計へ繰入,29,該当なし,0%,0,29,廃止,育児はNITで代替
内閣府,こども家庭庁,こども安全対策費,児童対象性暴力等防止等業務委託費,22,該当なし,10%,2,20,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども安全対策費,災害共済給付補助金,17,該当なし,10%,2,15,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,児童虐待防止等対策費,児童相談支援事業委託費,1,①法秩序維持・⑩責任能力なき者保護,80%,1,0,維持（縮小）,①②子供の身体・財産権保護
内閣府,こども家庭庁,児童虐待防止等対策費,児童虐待防止対策推進事業委託費,2,①法秩序維持・⑩責任能力なき者保護,80%,2,0,維持（縮小）,①②子供の身体・財産権保護
内閣府,こども家庭庁,児童虐待防止等対策費,児童福祉事業対策費等補助金,208,①法秩序維持・⑩責任能力なき者保護,80%,166,42,維持（縮小）,①②子供の身体・財産権保護
内閣府,こども家庭庁,児童虐待防止等対策費,児童保護費負担金,1621,①法秩序維持・⑩責任能力なき者保護,80%,1297,324,維持（縮小）,①②子供の身体・財産権保護
内閣府,こども家庭庁,児童虐待防止等対策費,児童保護医療費負担金,51,①法秩序維持・⑩責任能力なき者保護,80%,41,10,維持（縮小）,①②子供の身体・財産権保護
内閣府,こども家庭庁,国立児童自立支援施設,職員基本給,4,該当なし,10%,0,4,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,国立児童自立支援施設,職員諸手当,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,国立児童自立支援施設,超過勤務手当,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,国立児童自立支援施設,庁費,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,国立児童自立支援施設,児童自立支援庁費,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,母子家庭等対策費,養育費確保支援事業委託費,1,⑩責任能力なき者保護,50%,0,1,縮小,⑩最低限支援。NIT統合後縮小
内閣府,こども家庭庁,母子家庭等対策費,母子家庭等対策費補助金,204,⑩責任能力なき者保護,50%,102,102,縮小,⑩最低限支援。NIT統合後縮小
内閣府,こども家庭庁,母子家庭等対策費,児童扶養手当給付費負担金,1532,⑩責任能力なき者保護,50%,766,766,縮小,⑩最低限支援。NIT統合後縮小
内閣府,こども家庭庁,母子家庭等対策費,母子父子寡婦福祉貸付金,11,⑩責任能力なき者保護,50%,6,5,縮小,⑩最低限支援。NIT統合後縮小
内閣府,こども家庭庁,障害児支援等対策費,障害児入所給付費等負担金,5148,⑩責任能力なき者保護,70%,3604,1544,縮小,⑩重度障害児のみ
内閣府,こども家庭庁,障害児支援等対策費,障害児入所医療費等負担金,54,⑩責任能力なき者保護,70%,38,16,縮小,⑩重度障害児のみ
内閣府,こども家庭庁,こども政策推進費,こども政策推進業務庁費,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども政策推進費,こども家庭統計調査費,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども政策推進費,こども政策推進事業委託費,25,該当なし,10%,2,23,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども政策推進費,こども政策推進事業費補助金,61,該当なし,10%,6,55,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども政策推進費,こども家庭行政推進調査事業費補助金,8,該当なし,10%,1,7,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども政策推進費,こども家庭科学研究費補助金,3,該当なし,10%,0,3,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,こども政策推進費,地域少子化対策重点推進交付金,10,該当なし,10%,1,9,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,児童福祉施設等整備費,児童育成事業費補助金,5,該当なし,10%,0,5,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,児童福祉施設等整備費,就学前教育・保育施設整備交付金,229,該当なし,10%,23,206,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,児童福祉施設等整備費,次世代育成支援対策施設整備交付金,67,該当なし,10%,7,60,廃止,フリードマン範囲外の政策調整廃止
内閣府,こども家庭庁,大学等修学支援費,学資支給金補助金,1955,該当なし,0%,0,1955,廃止,高等教育補助廃止。貸付に移行
内閣府,こども家庭庁,大学等修学支援費,授業料等減免費負担金,334,該当なし,0%,0,334,廃止,高等教育補助廃止。貸付に移行
内閣府,こども家庭庁,大学等修学支援費,授業料等減免費交付金,4278,該当なし,0%,0,4278,廃止,高等教育補助廃止。貸付に移行
デジタル庁,デジタル庁,デジタル庁共通費,職員基本給,31,該当なし,10%,3,28,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,デジタル庁共通費,職員諸手当,17,該当なし,10%,2,15,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,デジタル庁共通費,超過勤務手当,8,該当なし,10%,1,7,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,デジタル庁共通費,非常勤職員手当,76,該当なし,10%,8,68,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,デジタル庁共通費,退職手当,3,該当なし,10%,0,3,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,デジタル庁共通費,児童手当,1,該当なし,10%,0,1,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,デジタル庁共通費,職員旅費,1,該当なし,10%,0,1,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,デジタル庁共通費,委員等旅費,1,該当なし,10%,0,1,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,デジタル庁共通費,庁費,18,該当なし,10%,2,16,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,デジタル庁共通費,情報処理業務庁費,3,該当なし,10%,0,3,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,デジタル庁共通費,土地建物借料,13,該当なし,10%,1,12,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,デジタル庁共通費,国家公務員共済組合負担金,18,該当なし,10%,2,16,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,デジタル庁共通費,基礎年金等国家公務員共済組合負担金,2,該当なし,10%,0,2,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,デジタル社会形成推進費,情報処理業務庁費,12,該当なし,10%,1,11,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,デジタル社会形成推進費,経済協力開発機構拠出金,2,該当なし,10%,0,2,廃止（民間移行）,政府IT機能は民間調達
デジタル庁,デジタル庁,情報通信技術調達等適正・効率化推進費,情報処理業務庁費,4724,該当なし,0%,0,4724,廃止,IT調達廃止。最小行政DBのみ
デジタル庁,デジタル庁,情報通信技術調達等適正・効率化推進費,情報通信技術調達等適正・効率化推進委託費,33,該当なし,0%,0,33,廃止,IT調達廃止。最小行政DBのみ
デジタル庁,デジタル庁,情報通信技術調達等適正・効率化推進費,マイナンバーカード関係システム事業費補助金,233,該当なし,0%,0,233,廃止,IT調達廃止。最小行政DBのみ
防災庁,防災庁,防災庁,職員基本給,9,⑨外部効果克服,60%,5,4,縮小,⑨広域災害対応。補助は廃止
防災庁,防災庁,防災庁,職員諸手当,6,⑨外部効果克服,60%,4,2,縮小,⑨広域災害対応。補助は廃止
防災庁,防災庁,防災庁,超過勤務手当,3,⑨外部効果克服,60%,2,1,縮小,⑨広域災害対応。補助は廃止
防災庁,防災庁,防災庁,退職手当,1,⑨外部効果克服,60%,1,0,縮小,⑨広域災害対応。補助は廃止
防災庁,防災庁,防災庁,庁費,2,⑨外部効果克服,60%,1,1,縮小,⑨広域災害対応。補助は廃止
防災庁,防災庁,防災庁,国家公務員共済組合負担金,2,⑨外部効果克服,60%,1,1,縮小,⑨広域災害対応。補助は廃止
総務省,総務本省,総務本省共通費,職員基本給,141,①法秩序維持,30%,42,99,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,職員諸手当,81,①法秩序維持,30%,24,57,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,超過勤務手当,27,①法秩序維持,30%,8,19,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,委員手当,1,①法秩序維持,30%,0,1,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,非常勤職員手当,7,①法秩序維持,30%,2,5,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,休職者給与,2,①法秩序維持,30%,1,1,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,国際機関等派遣職員給与,1,①法秩序維持,30%,0,1,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,短時間勤務職員給与,4,①法秩序維持,30%,1,3,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,公務災害補償費,3,①法秩序維持,30%,1,2,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,退職手当,44,①法秩序維持,30%,13,31,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,児童手当,2,①法秩序維持,30%,1,1,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,諸謝金,1,①法秩序維持,30%,0,1,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,職員旅費,3,①法秩序維持,30%,1,2,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,外国留学旅費,1,①法秩序維持,30%,0,1,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,赴任旅費,1,①法秩序維持,30%,0,1,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,庁費,33,①法秩序維持,30%,10,23,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,校費,5,①法秩序維持,30%,2,3,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,情報処理業務庁費,4,①法秩序維持,30%,1,3,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,無線機器型式検定試験費,1,①法秩序維持,30%,0,1,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,各所修繕,1,①法秩序維持,30%,0,1,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,国家公務員共済組合負担金,65,①法秩序維持,30%,20,45,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省共通費,基礎年金等国家公務員共済組合負担金,20,①法秩序維持,30%,6,14,縮小,①行政管理の最小限のみ
総務省,総務本省,総務本省施設費,施設整備費,11,①法秩序維持,30%,3,8,縮小,①行政管理の最小限のみ
総務省,総務本省,行政管理実施費,情報処理業務庁費,1,①法秩序維持,30%,0,1,縮小,①行政管理の最小限のみ
総務省,総務本省,行政評価等実施費,行政評価等業務庁費,2,①法秩序維持,30%,1,1,縮小,①行政管理の最小限のみ
総務省,総務本省,地方行政制度整備費,庁費,1,①法秩序維持,30%,0,1,縮小,①行政管理の最小限のみ
総務省,総務本省,地方行政制度整備費,地方行政体制整備業務庁費,3,①法秩序維持,30%,1,2,縮小,①行政管理の最小限のみ
総務省,総務本省,地域振興費,庁費,1,①法秩序維持,30%,0,1,縮小,①行政管理の最小限のみ
総務省,総務本省,地域振興費,地方振興対策調査費,5,①法秩序維持,30%,2,3,縮小,①行政管理の最小限のみ
総務省,総務本省,地域振興費,土地建物借料,1,①法秩序維持,30%,0,1,縮小,①行政管理の最小限のみ
総務省,総務本省,地域振興費,地域経済循環創造事業交付金,7,①法秩序維持,30%,2,5,縮小,①行政管理の最小限のみ
総務省,総務本省,地域振興費,過疎地域持続的発展支援交付金,8,①法秩序維持,30%,2,6,縮小,①行政管理の最小限のみ
総務省,総務本省,地方交付税交付金,交付税及び譲与税配付金特別会計へ繰入,200622,該当なし,30%,60187,140435,大幅削減,地方改革後の相当分のみ
総務省,総務本省,地方特例交付金,交付税及び譲与税配付金特別会計へ繰入,8156,該当なし,30%,2447,5709,大幅削減,地方税減収補填。地方改革後は不要
総務省,総務本省,選挙制度等整備費,庁費,1,①法秩序維持,30%,0,1,縮小,①行政管理の最小限のみ
総務省,総務本省,電子政府・電子自治体推進費,情報処理業務庁費,6,①法秩序維持,30%,2,4,縮小,①行政管理の最小限のみ
総務省,総務本省,電子政府・電子自治体推進費,社会保障・税番号制度システム開発等委託費,75,①法秩序維持,30%,22,53,縮小,①行政管理の最小限のみ
総務省,総務本省,電子政府・電子自治体推進費,マイナンバーカード交付事業費補助金,125,①法秩序維持,30%,38,87,縮小,①行政管理の最小限のみ
総務省,総務本省,電子政府・電子自治体推進費,マイナンバーカード交付事務費補助金,98,①法秩序維持,30%,29,69,縮小,①行政管理の最小限のみ
総務省,総務本省,情報通信技術研究開発推進費,情報通信技術研究開発推進業務庁費,19,①法秩序維持,30%,6,13,縮小,①行政管理の最小限のみ
総務省,総務本省,情報通信技術研究開発推進費,情報通信技術研究開発調査費,1,①法秩序維持,30%,0,1,縮小,①行政管理の最小限のみ
総務省,総務本省,情報通信技術研究開発推進費,情報通信技術研究開発推進委託費,36,①法秩序維持,30%,11,25,縮小,①行政管理の最小限のみ
