所管,項名,目名,元額_億円,分類,残存率,残す額_億円,理由
総務省,情報通信国際戦略推進費,政府開発援助アジア・太平洋電気通信共同体等拠出金,2,⑨,100%,2,情報通信国際戦略推進費に係る政府開発援助アジア・太平洋電気通信共同体等拠出金。通信インフラの整備・規制という情報外部性（⑨）の是正に関連する国際機関等への分担金・拠出金
総務省,情報通信国際戦略推進費,国際電気通信連合等拠出金,4,⑨,100%,4,情報通信国際戦略推進費に係る国際電気通信連合等拠出金。通信インフラの整備・規制という情報外部性（⑨）の是正に関連する国際機関等への分担金・拠出金
総務省,情報通信国際戦略推進費,経済協力開発機構拠出金,1,⑨,100%,1,情報通信国際戦略推進費に係る経済協力開発機構拠出金。通信インフラの整備・規制という情報外部性（⑨）の是正に関連する国際機関等への分担金・拠出金
総務省,郵政行政推進費,庁費,1,一部⑨,50%,0,郵政行政推進費に係る庁費。郵便普遍サービスの監督という自然独占規制（一部⑨）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
総務省,郵政行政推進費,郵政行政推進調査費,2,一部⑨,50%,1,郵政行政推進費に係る郵政行政推進調査費。郵便普遍サービスの監督という自然独占規制（一部⑨）の遂行に伴う経費
総務省,郵政行政推進費,政府開発援助万国郵便連合分担金,1,一部⑨,50%,0,郵政行政推進費に係る政府開発援助万国郵便連合分担金。郵便普遍サービスの監督という自然独占規制（一部⑨）に関連する国際機関等への分担金・拠出金
総務省,郵政行政推進費,万国郵便連合等分担金,4,一部⑨,50%,2,郵政行政推進費に係る万国郵便連合等分担金。郵便普遍サービスの監督という自然独占規制（一部⑨）に関連する国際機関等への分担金・拠出金
総務省,郵政行政推進費,万国郵便連合拠出金,4,一部⑨,50%,2,郵政行政推進費に係る万国郵便連合拠出金。郵便普遍サービスの監督という自然独占規制（一部⑨）に関連する国際機関等への分担金・拠出金
総務省,一般戦災死没者追悼等事業費,平和祈念事業委託費,4,③,100%,4,一般戦災死没者追悼等事業費に係る平和祈念事業委託費。行政管理・地方自治という統治機能（③）の遂行に伴う経費
総務省,一般戦災死没者追悼等事業費,旧日本赤十字社救護看護婦処遇費等補助金,1,③,100%,1,一般戦災死没者追悼等事業費に係る旧日本赤十字社救護看護婦処遇費等補助金。行政管理・地方自治という統治機能（③）の遂行に伴う経費
総務省,恩給費,職員基本給,2,③,100%,2,恩給費に係る職員基本給。恩給という国家補償制度（③）の事務であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
総務省,恩給費,職員諸手当,1,③,100%,1,恩給費に係る職員諸手当（扶養・通勤・地域等）。恩給という国家補償制度（③）の事務の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
総務省,恩給費,短時間勤務職員給与,1,③,100%,1,恩給費に係る短時間勤務職員給与。恩給という国家補償制度（③）の事務の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
総務省,恩給費,国会議員互助年金,14,③,100%,14,恩給費に係る国会議員互助年金。恩給という国家補償制度（③）の事務の遂行に伴う経費
総務省,恩給費,文官等恩給費,12,③,100%,12,恩給費に係る文官等恩給費。恩給という国家補償制度（③）の事務の遂行に伴う経費
総務省,恩給費,旧軍人遺族等恩給費,400,③,100%,400,恩給費に係る旧軍人遺族等恩給費。恩給という国家補償制度（③）の事務の遂行に伴う経費
総務省,統計調査費,統計調査費,118,③,100%,118,統計調査費に係る統計調査費。行政管理・地方自治という統治機能（③）の遂行に伴う経費
総務省,統計調査費,政府開発援助建物借料,1,③,100%,1,統計調査費に係る政府開発援助建物借料。行政管理・地方自治という統治機能（③）の遂行に伴う経費
総務省,統計調査費,統計調査地方公共団体委託費,123,③,100%,123,統計調査費に係る統計調査地方公共団体委託費。行政管理・地方自治という統治機能（③）の遂行に伴う経費
総務省,統計調査費,統計調査業務地方公共団体委託費,1,③,100%,1,統計調査費に係る統計調査業務地方公共団体委託費。行政管理・地方自治という統治機能（③）の遂行に伴う経費
総務省,統計調査費,統計調査事務地方公共団体委託費,101,③,100%,101,統計調査費に係る統計調査事務地方公共団体委託費。行政管理・地方自治という統治機能（③）の遂行に伴う経費
総務省,統計調査費,政府開発援助国連アジア統計研修援助計画分担金,3,③,100%,3,統計調査費に係る政府開発援助国連アジア統計研修援助計画分担金。行政管理・地方自治という統治機能（③）に関連する国際機関等への分担金・拠出金
総務省,独立行政法人統計センター運営費,独立行政法人統計センター運営費交付金,107,③,100%,107,独立行政法人統計センター運営費に係る独立行政法人統計センター運営費交付金。行政管理・地方自治という統治機能（③）の遂行に伴う経費
総務省,政党助成費,政党交付金,315,③,100%,315,政党助成費に係る政党交付金。行政管理・地方自治という統治機能（③）の遂行に伴う経費
総務省,国有提供施設等所在市町村助成交付金,国有提供施設等所在市町村助成交付金,307,一部①,50%,154,国有提供施設等所在市町村助成交付金に係る国有提供施設等所在市町村助成交付金。米軍基地所在市町村への国防負担補償（一部①）の遂行に伴う経費
総務省,施設等所在市町村調整交付金,施設等所在市町村調整交付金,78,③,100%,78,施設等所在市町村調整交付金に係る施設等所在市町村調整交付金。行政管理・地方自治という統治機能（③）の遂行に伴う経費
総務省,管区行政評価局共通費,職員基本給,33,③,100%,33,管区行政評価局共通費に係る職員基本給。行政評価・公文書管理という政府透明性確保（③）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
総務省,管区行政評価局共通費,職員諸手当,19,③,100%,19,管区行政評価局共通費に係る職員諸手当（扶養・通勤・地域等）。行政評価・公文書管理という政府透明性確保（③）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
総務省,管区行政評価局共通費,超過勤務手当,1,③,100%,1,管区行政評価局共通費に係る超過勤務手当。行政評価・公文書管理という政府透明性確保（③）の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
総務省,管区行政評価局共通費,非常勤職員手当,3,③,100%,3,管区行政評価局共通費に係る非常勤職員手当。行政評価・公文書管理という政府透明性確保（③）における専門的・期間限定業務の外部人材コスト（人件費按分：同項非人件費残存率100%）
総務省,管区行政評価局共通費,短時間勤務職員給与,5,③,100%,5,管区行政評価局共通費に係る短時間勤務職員給与。行政評価・公文書管理という政府透明性確保（③）の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
総務省,管区行政評価局共通費,庁費,6,③,100%,6,管区行政評価局共通費に係る庁費。行政評価・公文書管理という政府透明性確保（③）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
総務省,行政評価等実施費,非常勤職員手当,1,③,100%,1,行政評価等実施費に係る非常勤職員手当。行政評価・公文書管理という政府透明性確保（③）における専門的・期間限定業務の外部人材コスト（人件費按分：同項非人件費残存率100%）
総務省,行政評価等実施費,職員旅費,1,③,100%,1,行政評価等実施費に係る職員旅費。行政評価・公文書管理という政府透明性確保（③）に伴う現地視察・監督・会議出張費
総務省,行政評価等実施費,情報処理業務庁費,1,③,100%,1,行政評価等実施費に係る情報処理業務庁費。行政評価・公文書管理という政府透明性確保（③）に必要なデータ処理・業務システムの維持コスト
総務省,行政評価等実施費,行政評価等業務庁費,2,③,100%,2,行政評価等実施費に係る行政評価等業務庁費。行政評価・公文書管理という政府透明性確保（③）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
総務省,行政評価等実施費,行政相談委員実費弁償金,3,③,100%,3,行政評価等実施費に係る行政相談委員実費弁償金。行政評価・公文書管理という政府透明性確保（③）の遂行に伴う経費
総務省,総合通信局共通費,職員基本給,41,③,100%,41,総合通信局共通費に係る職員基本給。行政管理・地方自治という統治機能（③）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
総務省,総合通信局共通費,職員諸手当,21,③,100%,21,総合通信局共通費に係る職員諸手当（扶養・通勤・地域等）。行政管理・地方自治という統治機能（③）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
総務省,総合通信局共通費,超過勤務手当,3,③,100%,3,総合通信局共通費に係る超過勤務手当。行政管理・地方自治という統治機能（③）の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
総務省,総合通信局共通費,短時間勤務職員給与,6,③,100%,6,総合通信局共通費に係る短時間勤務職員給与。行政管理・地方自治という統治機能（③）の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
総務省,総合通信局共通費,職員旅費,1,③,100%,1,総合通信局共通費に係る職員旅費。行政管理・地方自治という統治機能（③）に伴う現地視察・監督・会議出張費
総務省,総合通信局共通費,庁費,9,③,100%,9,総合通信局共通費に係る庁費。行政管理・地方自治という統治機能（③）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
総務省,総合通信局共通費,各所修繕,1,③,100%,1,総合通信局共通費に係る各所修繕。行政管理・地方自治という統治機能（③）を実施するための施設・設備の維持・補修コスト
総務省,電波利用料財源電波監視等実施費,職員基本給,12,⑨,100%,12,電波利用料財源電波監視等実施費に係る職員基本給。電波という希少資源の割当・管理（⑨独占）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
総務省,電波利用料財源電波監視等実施費,職員諸手当,6,⑨,100%,6,電波利用料財源電波監視等実施費に係る職員諸手当（扶養・通勤・地域等）。電波という希少資源の割当・管理（⑨独占）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
総務省,電波利用料財源電波監視等実施費,超過勤務手当,1,⑨,100%,1,電波利用料財源電波監視等実施費に係る超過勤務手当。電波という希少資源の割当・管理（⑨独占）の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
総務省,電波利用料財源電波監視等実施費,短時間勤務職員給与,1,⑨,100%,1,電波利用料財源電波監視等実施費に係る短時間勤務職員給与。電波という希少資源の割当・管理（⑨独占）の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
総務省,電波利用料財源電波監視等実施費,電波監視等業務旅費,1,⑨,100%,1,電波利用料財源電波監視等実施費に係る電波監視等業務旅費。電波という希少資源の割当・管理（⑨独占）に伴う現地視察・監督・会議出張費
総務省,電波利用料財源電波監視等実施費,電波監視等業務庁費,12,⑨,100%,12,電波利用料財源電波監視等実施費に係る電波監視等業務庁費。電波という希少資源の割当・管理（⑨独占）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
総務省,電波利用料財源電波監視等実施費,土地建物借料,2,⑨,100%,2,電波利用料財源電波監視等実施費に係る土地建物借料。電波という希少資源の割当・管理（⑨独占）の拠点施設として民間施設を借上げるコスト
総務省,電波利用料財源電波監視等実施費,各所修繕,1,⑨,100%,1,電波利用料財源電波監視等実施費に係る各所修繕。電波という希少資源の割当・管理（⑨独占）を実施するための施設・設備の維持・補修コスト
総務省,公害等調整委員会,職員基本給,3,③,100%,3,公害等調整委員会に係る職員基本給。行政管理・地方自治という統治機能（③）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
総務省,公害等調整委員会,職員諸手当,2,③,100%,2,公害等調整委員会に係る職員諸手当（扶養・通勤・地域等）。行政管理・地方自治という統治機能（③）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
総務省,公害等調整委員会,庁費,1,③,100%,1,公害等調整委員会に係る庁費。行政管理・地方自治という統治機能（③）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
総務省,消防庁共通費,職員基本給,10,⑨,100%,10,消防庁共通費に係る職員基本給。消防・救急・防災という公共財（⑨）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
総務省,消防庁共通費,職員諸手当,6,⑨,100%,6,消防庁共通費に係る職員諸手当（扶養・通勤・地域等）。消防・救急・防災という公共財（⑨）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
総務省,消防庁共通費,超過勤務手当,2,⑨,100%,2,消防庁共通費に係る超過勤務手当。消防・救急・防災という公共財（⑨）の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
総務省,消防庁共通費,報償費,1,⑨,100%,1,消防庁共通費に係る報償費。消防・救急・防災という公共財（⑨）の遂行に伴う経費
総務省,消防庁共通費,退職消防団員褒賞品費,1,⑨,100%,1,消防庁共通費に係る退職消防団員褒賞品費。消防・救急・防災という公共財（⑨）の遂行に伴う経費
総務省,消防庁共通費,庁費,2,⑨,100%,2,消防庁共通費に係る庁費。消防・救急・防災という公共財（⑨）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
総務省,消防庁共通費,校費,3,⑨,100%,3,消防庁共通費に係る校費。消防・救急・防災という公共財（⑨）の専門人材養成に必要な施設運営コスト（消耗品等）
総務省,消防防災体制等整備費,校費,1,③,100%,1,消防防災体制等整備費に係る校費。行政管理・地方自治という統治機能（③）の専門人材養成に必要な施設運営コスト（消耗品等）
総務省,消防防災体制等整備費,消防防災等業務庁費,15,③,100%,15,消防防災体制等整備費に係る消防防災等業務庁費。行政管理・地方自治という統治機能（③）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
総務省,消防防災体制等整備費,消防防災技術研究開発業務庁費,4,③,100%,4,消防防災体制等整備費に係る消防防災技術研究開発業務庁費。行政管理・地方自治という統治機能（③）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
総務省,消防防災体制等整備費,情報処理業務庁費,1,③,100%,1,消防防災体制等整備費に係る情報処理業務庁費。行政管理・地方自治という統治機能（③）に必要なデータ処理・業務システムの維持コスト
総務省,消防防災体制等整備費,消防防災通信維持費,2,③,100%,2,消防防災体制等整備費に係る消防防災通信維持費。行政管理・地方自治という統治機能（③）の遂行に伴う経費
総務省,消防防災体制等整備費,消防防災技術研究開発委託費,1,③,100%,1,消防防災体制等整備費に係る消防防災技術研究開発委託費。行政管理・地方自治という統治機能（③）の遂行に伴う経費
総務省,消防防災体制等整備費,緊急消防援助隊設備整備費補助金,55,③,100%,55,消防防災体制等整備費に係る緊急消防援助隊設備整備費補助金。行政管理・地方自治という統治機能（③）の遂行に伴う経費
総務省,消防防災体制等整備費,消防防災施設整備費補助金,14,③,100%,14,消防防災体制等整備費に係る消防防災施設整備費補助金。行政管理・地方自治という統治機能（③）の遂行に伴う経費
総務省,消防防災体制等整備費,国民保護訓練費負担金,1,③,100%,1,消防防災体制等整備費に係る国民保護訓練費負担金。行政管理・地方自治という統治機能（③）に関連する法定負担金（補助・交付）
法務省,法務本省共通費,職員基本給,56,①/②,100%,56,法務本省共通費に係る職員基本給。法執行（①）と財産権制度管理（②）の企画・統括であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
法務省,法務本省共通費,職員諸手当,30,①/②,100%,30,法務本省共通費に係る職員諸手当（扶養・通勤・地域等）。法執行（①）と財産権制度管理（②）の企画・統括の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
法務省,法務本省共通費,超過勤務手当,8,①/②,100%,8,法務本省共通費に係る超過勤務手当。法執行（①）と財産権制度管理（②）の企画・統括の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
法務省,法務本省共通費,休職者給与,11,①/②,100%,11,法務本省共通費に係る休職者給与。法執行（①）と財産権制度管理（②）の企画・統括の遂行に伴う経費
法務省,法務本省共通費,国際機関等派遣職員給与,2,①/②,100%,2,法務本省共通費に係る国際機関等派遣職員給与。法執行（①）と財産権制度管理（②）の企画・統括の遂行に伴う経費
法務省,法務本省共通費,公務災害補償費,5,①/②,100%,5,法務本省共通費に係る公務災害補償費。法執行（①）と財産権制度管理（②）の企画・統括の遂行に伴う経費
法務省,法務本省共通費,退職手当,313,①/②,100%,313,法務本省共通費に係る退職手当。法執行（①）と財産権制度管理（②）の企画・統括の執行を長期的に支える人材の雇用終了時の義務的給付（人件費按分：同項非人件費残存率100%）
法務省,法務本省共通費,児童手当,1,①/②,100%,1,法務本省共通費に係る児童手当。法執行（①）と財産権制度管理（②）の企画・統括の執行職員に対する法律に基づく児童手当給付（人件費按分：同項非人件費残存率100%）
法務省,法務本省共通費,職員旅費,3,①/②,100%,3,法務本省共通費に係る職員旅費。法執行（①）と財産権制度管理（②）の企画・統括に伴う現地視察・監督・会議出張費
法務省,法務本省共通費,外国留学旅費,1,①/②,100%,1,法務本省共通費に係る外国留学旅費。法執行（①）と財産権制度管理（②）の企画・統括に伴う現地視察・監督・会議出張費
法務省,法務本省共通費,庁費,15,①/②,100%,15,法務本省共通費に係る庁費。法執行（①）と財産権制度管理（②）の企画・統括の行政執行を支える事務所経費（消耗品・光熱・雑費等）
法務省,法務本省共通費,情報処理業務庁費,3,①/②,100%,3,法務本省共通費に係る情報処理業務庁費。法執行（①）と財産権制度管理（②）の企画・統括に必要なデータ処理・業務システムの維持コスト
法務省,法務本省共通費,司法国際化業務庁費,3,①/②,100%,3,法務本省共通費に係る司法国際化業務庁費。法執行（①）と財産権制度管理（②）の企画・統括の行政執行を支える事務所経費（消耗品・光熱・雑費等）
法務省,法務本省共通費,各所修繕,14,①/②,100%,14,法務本省共通費に係る各所修繕。法執行（①）と財産権制度管理（②）の企画・統括を実施するための施設・設備の維持・補修コスト
法務省,法務本省共通費,国家公務員共済組合負担金,699,①/②,100%,699,法務本省共通費に係る国家公務員共済組合負担金（使用者負担）。法執行（①）と財産権制度管理（②）の企画・統括の執行職員に係る法定社会保険コスト（人件費按分：同項非人件費残存率100%）
法務省,法務本省共通費,基礎年金等国家公務員共済組合負担金,171,①/②,100%,171,法務本省共通費に係る基礎年金等国家公務員共済組合負担金（使用者負担）。法執行（①）と財産権制度管理（②）の企画・統括の執行職員に係る国民年金相当部分の法定コスト（人件費按分：同項非人件費残存率100%）
法務省,法務本省共通費,育児休業手当金等国家公務員共済組合負担金,3,①/②,100%,3,法務本省共通費に係る育児休業手当金等国家公務員共済組合負担金。法執行（①）と財産権制度管理（②）の企画・統括の執行職員の育休取得に伴う法定コスト（人件費按分：同項非人件費残存率100%）
法務省,法務本省共通費,国有資産所在市町村交付金,2,①/②,100%,2,法務本省共通費に係る国有資産所在市町村交付金。法執行（①）と財産権制度管理（②）の企画・統括に使用する国有施設の代替的固定資産税相当額
法務省,法務本省共通費,国際私法会議等分担金,1,①/②,100%,1,法務本省共通費に係る国際私法会議等分担金。法執行（①）と財産権制度管理（②）の企画・統括に関連する国際機関等への分担金・拠出金
法務省,法務本省共通費,政府開発援助国際連合薬物犯罪事務所拠出金,1,①/②,100%,1,法務本省共通費に係る政府開発援助国際連合薬物犯罪事務所拠出金。法執行（①）と財産権制度管理（②）の企画・統括に関連する国際機関等への分担金・拠出金
法務省,法務本省共通費,国際機関拠出金,1,①/②,100%,1,法務本省共通費に係る国際機関拠出金。法執行（①）と財産権制度管理（②）の企画・統括に関連する国際機関等への分担金・拠出金
法務省,法務本省共通費,賠償償還及払戻金,3,①/②,100%,3,法務本省共通費に係る賠償償還及払戻金。法執行（①）と財産権制度管理（②）の企画・統括の遂行に伴う経費
法務省,基本法制整備費,庁費,1,③,100%,1,基本法制整備費に係る庁費。民法・商法等基本法の整備（経済ゲームのルール③の立法コスト）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
法務省,司法制度改革推進費,委員手当,1,①/②/⑤,100%,1,司法制度改革推進費に係る委員手当。裁判・法律扶助制度の整備（司法アクセス改善①②⑤）の遂行に伴う経費
法務省,司法制度改革推進費,諸謝金,1,①/②/⑤,100%,1,司法制度改革推進費に係る諸謝金。裁判・法律扶助制度の整備（司法アクセス改善①②⑤）の遂行に伴う経費
法務省,司法制度改革推進費,司法試験業務庁費,6,①/②/⑤,100%,6,司法制度改革推進費に係る司法試験業務庁費。裁判・法律扶助制度の整備（司法アクセス改善①②⑤）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
法務省,司法制度改革推進費,国選弁護人確保業務等委託費,171,①/②/⑤,100%,171,司法制度改革推進費に係る国選弁護人確保業務等委託費。裁判・法律扶助制度の整備（司法アクセス改善①②⑤）の遂行に伴う経費
法務省,日本司法支援センター運営費,日本司法支援センター運営費交付金,165,①/⑤,100%,165,日本司法支援センター運営費に係る日本司法支援センター運営費交付金。法テラス（法律扶助により経済的弱者の司法アクセス①⑤を保障）の遂行に伴う経費
法務省,矯正企画調整費,委員手当,1,①,100%,1,矯正企画調整費に係る委員手当。矯正行政の企画・調整（法執行①の政策立案）の遂行に伴う経費
法務省,人権擁護推進費,人権啓発活動等委託費,11,①/③,100%,11,人権擁護推進費に係る人権啓発活動等委託費。人権侵害の救済・啓発（法秩序①の補完と基本権保護③）の遂行に伴う経費
法務省,訟務費,諸謝金,3,③,100%,3,訟務費に係る諸謝金。国の訴訟代理（行政活動③に関する法的争訟への対応）の遂行に伴う経費
法務省,訟務費,訟務旅費,1,③,100%,1,訟務費に係る訟務旅費。国の訴訟代理（行政活動③に関する法的争訟への対応）に伴う現地視察・監督・会議出張費
法務省,訟務費,訟務庁費,6,③,100%,6,訟務費に係る訟務庁費。国の訴訟代理（行政活動③に関する法的争訟への対応）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
法務省,訟務費,保証金,7,③,100%,7,訟務費に係る保証金。国の訴訟代理（行政活動③に関する法的争訟への対応）の遂行に伴う経費
法務省,法務省施設費,施設施工庁費,1,①/②,100%,1,法務省施設費に係る施設施工庁費。法務省の施設整備（法執行①・財産権管理②の拠点施設）の拠点施設整備工事を管理するためのコスト
法務省,法務省施設費,施設整備費,195,①/②,100%,195,法務省施設費に係る施設整備費。法務省の施設整備（法執行①・財産権管理②の拠点施設）の遂行に伴う経費
法務省,法務省施設費,不動産購入費,2,①/②,100%,2,法務省施設費に係る不動産購入費。法務省の施設整備（法執行①・財産権管理②の拠点施設）の拠点施設として必要な土地・建物の購入コスト
法務省,法務行政情報化推進費,情報処理業務庁費,4,②/①,100%,4,法務行政情報化推進費に係る情報処理業務庁費。登記・矯正・入管システムの情報化（財産権②・法執行①の効率化）に必要なデータ処理・業務システムの維持コスト
法務省,法務総合研究所共通費,職員基本給,5,①,100%,5,法務総合研究所共通費に係る職員基本給。法務研究・研修（刑事政策①の科学的基盤）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
法務省,法務総合研究所共通費,職員諸手当,3,①,100%,3,法務総合研究所共通費に係る職員諸手当（扶養・通勤・地域等）。法務研究・研修（刑事政策①の科学的基盤）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
法務省,法務総合研究所共通費,職員旅費,2,①,100%,2,法務総合研究所共通費に係る職員旅費。法務研究・研修（刑事政策①の科学的基盤）に伴う現地視察・監督・会議出張費
法務省,法務総合研究所共通費,庁費,6,①,100%,6,法務総合研究所共通費に係る庁費。法務研究・研修（刑事政策①の科学的基盤）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
法務省,法務総合研究所共通費,研修所庁費,1,①,100%,1,法務総合研究所共通費に係る研修所庁費。法務研究・研修（刑事政策①の科学的基盤）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
法務省,法務総合研究所共通費,公共施設等維持管理運営費,1,①,100%,1,法務総合研究所共通費に係る公共施設等維持管理運営費。法務研究・研修（刑事政策①の科学的基盤）のために整備した施設の継続的維持・運営コスト
法務省,国際協力推進費,政府開発援助職員旅費,1,③,100%,1,国際協力推進費に係る政府開発援助職員旅費。司法・法務分野の国際協力（法制度整備の国際貢献③）に伴う現地視察・監督・会議出張費
法務省,国際協力推進費,政府開発援助庁費,1,③,100%,1,国際協力推進費に係る政府開発援助庁費。司法・法務分野の国際協力（法制度整備の国際貢献③）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
法務省,検察官署共通費,職員基本給,661,①,100%,661,検察官署共通費に係る職員基本給。刑事訴追・公判遂行（法執行①の中核機能）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
法務省,検察官署共通費,職員諸手当,353,①,100%,353,検察官署共通費に係る職員諸手当（扶養・通勤・地域等）。刑事訴追・公判遂行（法執行①の中核機能）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
法務省,検察官署共通費,超過勤務手当,29,①,100%,29,検察官署共通費に係る超過勤務手当。刑事訴追・公判遂行（法執行①の中核機能）の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
法務省,検察官署共通費,非常勤職員手当,1,①,100%,1,検察官署共通費に係る非常勤職員手当。刑事訴追・公判遂行（法執行①の中核機能）における専門的・期間限定業務の外部人材コスト（人件費按分：同項非人件費残存率100%）
法務省,検察官署共通費,短時間勤務職員給与,34,①,100%,34,検察官署共通費に係る短時間勤務職員給与。刑事訴追・公判遂行（法執行①の中核機能）の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
法務省,検察官署共通費,児童手当,8,①,100%,8,検察官署共通費に係る児童手当。刑事訴追・公判遂行（法執行①の中核機能）の執行職員に対する法律に基づく児童手当給付（人件費按分：同項非人件費残存率100%）
法務省,検察官署共通費,赴任旅費,4,①,100%,4,検察官署共通費に係る赴任旅費。刑事訴追・公判遂行（法執行①の中核機能）に伴う現地視察・監督・会議出張費
法務省,検察官署共通費,庁費,54,①,100%,54,検察官署共通費に係る庁費。刑事訴追・公判遂行（法執行①の中核機能）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
法務省,検察官署共通費,土地建物借料,1,①,100%,1,検察官署共通費に係る土地建物借料。刑事訴追・公判遂行（法執行①の中核機能）の拠点施設として民間施設を借上げるコスト
法務省,検察費,諸謝金,9,①,100%,9,検察費に係る諸謝金。捜査・公判の直接費用（法執行①の直接執行コスト）の遂行に伴う経費
法務省,検察費,検察旅費,5,①,100%,5,検察費に係る検察旅費。捜査・公判の直接費用（法執行①の直接執行コスト）に伴う現地視察・監督・会議出張費
法務省,検察費,参考人等旅費,3,①,100%,3,検察費に係る参考人等旅費。捜査・公判の直接費用（法執行①の直接執行コスト）に伴う現地視察・監督・会議出張費
法務省,検察費,検察業務庁費,34,①,100%,34,検察費に係る検察業務庁費。捜査・公判の直接費用（法執行①の直接執行コスト）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
法務省,検察運営費,職員旅費,1,①,100%,1,検察運営費に係る職員旅費。検察庁の運営費（刑事訴追機能①の維持管理）に伴う現地視察・監督・会議出張費
法務省,検察運営費,検察業務庁費,17,①,100%,17,検察運営費に係る検察業務庁費。検察庁の運営費（刑事訴追機能①の維持管理）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
法務省,矯正官署共通費,職員基本給,1055,①,100%,1055,矯正官署共通費に係る職員基本給。刑事施設における受刑者収容・更生指導（法執行①）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
法務省,矯正官署共通費,職員諸手当,502,①,100%,502,矯正官署共通費に係る職員諸手当（扶養・通勤・地域等）。刑事施設における受刑者収容・更生指導（法執行①）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
法務省,矯正官署共通費,超過勤務手当,193,①,100%,193,矯正官署共通費に係る超過勤務手当。刑事施設における受刑者収容・更生指導（法執行①）の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
法務省,矯正官署共通費,非常勤職員手当,11,①,100%,11,矯正官署共通費に係る非常勤職員手当。刑事施設における受刑者収容・更生指導（法執行①）における専門的・期間限定業務の外部人材コスト（人件費按分：同項非人件費残存率100%）
